airline,avail_seat_km_per_week,LCM,incidents_85_99_normalized,incidents_85_99,fatal_accidents_85_99_normalized,fatal_accidents_85_99,fatalities_85_99,incidents_00_14,fatal_accidents_00_14,fatalities_00_14
Aer Lingus,320906734,4.051021254,8,2,0,0,0,0,0,0
Aeroflot*,1197672318,1.085438797,82,76,15,14,128,6,1,88
Aerolineas Argentinas,385803648,3.369589704,20,6,0,0,0,1,0,0
Aeromexico*,596871813,2.178022101,7,3,2,1,64,5,0,0
Air Canada,1865253802,0.696956092,1,2,0,0,0,2,0,0
Air France,3004002661,0.432755942,6,14,2,4,79,6,2,337
Air India*,869253552,1.495536023,3,2,1,1,329,4,1,158
Air New Zealand*,710174817,1.830535199,5,3,0,0,0,5,1,7
Alaska Airlines*,965346773,1.346666334,7,5,0,0,0,5,1,88
Alitalia,698012498,1.862430836,13,7,4,2,50,4,0,0
All Nippon Airways,1841234177,0.706048158,2,3,1,1,1,7,0,0
American*,5228357340,0.248644061,5,21,1,5,101,17,3,416
Austrian Airlines,358239823,3.628853959,4,1,0,0,0,1,0,0
Avianca,396922563,3.275198039,16,5,10,3,323,0,0,0
British Airways*,3179760952,0.408835765,2,4,0,0,0,6,0,0
Cathay Pacific*,2582459303,0.503396123,0,0,0,0,0,2,0,0
China Airlines,813216487,1.598590315,19,12,10,6,535,2,1,225
Condor,417982610,3.110177239,6,2,3,1,16,0,0,0
COPA,550491507,2.361525988,7,3,2,1,47,0,0,0
Delta / Northwest*,6525658894,0.1992136,5,24,2,12,407,24,2,51
Egyptair,557699891,2.331002787,19,8,7,3,282,4,1,14
El Al,335448023,3.875414106,4,1,4,1,4,1,0,0
Ethiopian Airlines,488560643,2.660877454,67,25,13,5,167,5,2,92
Finnair,506464950,2.566811385,3,1,0,0,0,0,0,0
Garuda Indonesia,613356665,2.119484591,21,10,6,3,260,4,2,22
Gulf Air,301379762,4.31349468,4,1,0,0,0,3,1,143
Hawaiian Airlines,493877795,2.632230105,0,0,0,0,0,1,0,0
Iberia,1173203126,1.108077511,4,4,1,1,148,5,0,0
Japan Airlines,1574217531,0.825807091,2,3,1,1,520,0,0,0
Kenya Airways,277414794,4.686123553,9,2,0,0,0,2,2,283
KLM*,1874561773,0.693495418,5,7,1,1,3,1,0,0
Korean Air,1734522605,0.749485764,9,12,4,5,425,1,0,0
LAN Airlines,1001965891,1.297449356,4,3,3,2,21,0,0,0
Lufthansa*,3426529504,0.379392618,2,6,0,1,2,3,0,0
Malaysia Airlines,1039171244,1.250996895,4,3,1,1,34,3,2,537
Pakistan International,348563137,3.729596914,30,8,11,3,234,10,2,46
Philippine Airlines,413007158,3.147645204,22,7,13,4,74,2,1,1
Qantas*,1917428984,0.677991212,1,1,0,0,0,5,0,0
Royal Air Maroc,295705339,4.396268273,22,5,13,3,51,3,0,0
SAS*,682971852,1.903445942,10,5,0,0,0,6,1,110
Saudi Arabian,859673901,1.512201311,11,7,3,2,313,11,0,0
Singapore Airlines,2376857805,0.546940586,1,2,1,2,6,2,1,83
South African,651502442,1.995387762,4,2,2,1,159,1,0,0
Southwest Airlines,3276525770,0.39676172,0,1,0,0,0,8,0,0
Sri Lankan / AirLanka,325582976,3.992837758,8,2,4,1,14,4,0,0
SWISS*,792601299,1.640168899,3,2,2,1,229,3,0,0
TACA,259373346,5.012080154,15,3,5,1,3,1,1,3
TAM,1509195646,0.861386,7,8,3,3,98,7,2,188
TAP - Air Portugal,619130754,2.099718019,0,0,0,0,0,0,0,0
Thai Airways,1702802250,0.763447429,6,8,3,4,308,2,1,1
Turkish Airlines,1946098294,0.668003258,5,8,2,3,64,8,2,84
United / Continental*,7139291291,0.182090903,3,19,1,8,319,14,2,109
US Airways / America West*,2455687887,0.529383236,8,16,4,7,224,11,2,23
Vietnam Airlines,625084918,2.079717431,15,7,6,3,171,1,0,0
Virgin Atlantic,1005248585,1.293212464,1,1,0,0,0,0,0,0
Xiamen Airlines,430462962,3.020004309,27,9,3,1,82,2,0,0
